cve_id,pub_year,cwe_category,cvss_base,impact,exploitability,severity,in_kev
CVE-2020-71897,2020,Memory,4.3,6.1,7.3,Medium,False
CVE-2021-23487,2021,Other,6.1,6.9,9.0,Medium,False
CVE-2022-87384,2022,Auth,3.5,6.5,4.5,Low,False
CVE-2022-72423,2022,Crypto,5.3,4.0,7.6,Medium,False
CVE-2020-23155,2020,Other,5.4,4.2,7.4,Medium,False
CVE-2019-21255,2019,Auth,4.6,7.8,6.8,Medium,False
CVE-2020-11979,2020,Memory,7.4,7.8,7.7,High,False
CVE-2022-31305,2022,Other,7.3,4.6,8.3,High,False
CVE-2020-84543,2020,InputValidation,5.6,5.4,8.2,Medium,False
CVE-2024-45094,2024,Auth,4.0,5.9,4.6,Medium,False
CVE-2022-45098,2022,Other,6.9,3.6,7.7,Medium,False
CVE-2018-99566,2018,InputValidation,5.3,8.4,7.1,Medium,False
CVE-2023-43770,2023,Memory,5.5,6.5,6.9,Medium,False
CVE-2021-19734,2021,Memory,6.8,8.8,7.4,Medium,False
CVE-2023-81984,2023,InputValidation,7.3,8.3,6.9,High,False
CVE-2020-49605,2020,Auth,7.2,8.0,9.2,High,True
CVE-2022-87932,2022,Other,4.0,4.4,6.2,Medium,False
CVE-2023-65619,2023,Memory,4.5,7.6,5.0,Medium,False
CVE-2024-37881,2024,InputValidation,4.7,6.0,6.0,Medium,False
CVE-2020-73401,2020,InputValidation,3.9,4.6,6.8,Low,False
CVE-2021-41177,2021,Memory,6.8,7.5,9.2,Medium,False
CVE-2022-50122,2022,Memory,4.8,5.2,7.6,Medium,False
CVE-2024-45297,2024,InputValidation,4.4,7.8,5.5,Medium,False
CVE-2024-46680,2024,Other,6.7,4.3,10.0,Medium,False
CVE-2019-93452,2019,InputValidation,5.2,6.3,7.2,Medium,False
CVE-2019-61044,2019,InputValidation,5.2,6.4,9.1,Medium,False
CVE-2022-54084,2022,Auth,5.1,6.1,6.4,Medium,False
CVE-2019-44189,2019,InputValidation,6.0,6.9,7.8,Medium,False
CVE-2021-23510,2021,Other,3.6,4.3,7.9,Low,False
CVE-2019-32152,2019,Other,6.4,6.3,9.0,Medium,False
CVE-2023-94738,2023,InputValidation,4.1,4.0,8.2,Medium,False
CVE-2024-36445,2024,InputValidation,7.3,6.2,8.3,High,False
CVE-2024-86688,2024,InputValidation,6.8,8.9,6.7,Medium,False
CVE-2021-81153,2021,InputValidation,3.9,4.5,5.4,Low,False
CVE-2022-11195,2022,Memory,4.9,6.0,7.3,Medium,False
CVE-2024-69949,2024,Crypto,5.9,6.3,8.4,Medium,False
CVE-2019-35433,2019,InputValidation,5.7,6.3,6.4,Medium,False
CVE-2023-15305,2023,Memory,6.6,7.5,8.9,Medium,False
CVE-2021-68860,2021,InputValidation,6.3,6.7,9.5,Medium,False
CVE-2020-83613,2020,Other,4.7,6.0,5.0,Medium,False
CVE-2021-58648,2021,Memory,5.5,8.7,5.7,Medium,False
CVE-2018-73090,2018,Memory,5.6,7.6,6.8,Medium,False
CVE-2023-52113,2023,InputValidation,3.6,5.6,7.2,Low,False
CVE-2020-52642,2020,Other,5.7,6.0,5.8,Medium,False
CVE-2021-43062,2021,Memory,8.1,9.8,9.9,High,False
CVE-2019-81633,2019,Crypto,4.6,5.3,7.3,Medium,False
CVE-2024-51604,2024,Auth,6.3,5.0,6.6,Medium,False
CVE-2022-16678,2022,Memory,5.7,8.7,4.6,Medium,False
CVE-2022-42121,2022,Auth,3.7,6.3,4.4,Low,False
CVE-2022-58503,2022,InputValidation,4.6,2.7,6.6,Medium,False
CVE-2021-96940,2021,Crypto,4.6,6.8,3.0,Medium,False
CVE-2020-81279,2020,Crypto,5.6,4.7,8.3,Medium,False
CVE-2023-26494,2023,InputValidation,4.7,5.9,6.4,Medium,False
CVE-2019-54185,2019,Memory,7.4,7.5,10.0,High,False
CVE-2019-19678,2019,Auth,6.5,6.8,10.0,Medium,False
CVE-2023-47632,2023,InputValidation,6.1,7.1,6.6,Medium,False
CVE-2020-56235,2020,Memory,3.8,6.3,6.6,Low,False
CVE-2021-11648,2021,Memory,6.4,7.8,8.8,Medium,False
CVE-2022-91213,2022,Crypto,7.3,5.1,9.6,High,False
CVE-2022-98301,2022,Crypto,3.9,6.6,3.9,Low,False
CVE-2023-77917,2023,Memory,4.5,7.9,3.9,Medium,False
CVE-2023-26489,2023,InputValidation,3.8,4.6,5.3,Low,False
CVE-2023-87281,2023,Memory,5.9,8.6,8.3,Medium,False
CVE-2023-15818,2023,Crypto,3.2,4.7,7.3,Low,False
CVE-2020-43149,2020,Memory,6.8,8.2,9.1,Medium,False
CVE-2021-37312,2021,Crypto,4.6,6.1,4.6,Medium,False
CVE-2021-47124,2021,InputValidation,5.0,8.8,3.1,Medium,False
CVE-2021-11316,2021,Other,5.0,4.7,8.0,Medium,False
CVE-2024-80990,2024,Memory,5.0,6.5,5.3,Medium,False
CVE-2023-70046,2023,InputValidation,4.8,6.0,3.1,Medium,False
CVE-2019-88643,2019,Memory,5.4,6.5,7.1,Medium,False
CVE-2018-79610,2018,Other,5.4,6.2,8.2,Medium,False
CVE-2018-96724,2018,Other,3.3,2.6,5.8,Low,False
CVE-2020-74042,2020,InputValidation,4.7,4.4,5.6,Medium,False
CVE-2019-33102,2019,Crypto,5.3,3.9,6.0,Medium,False
CVE-2022-41957,2022,Auth,5.4,7.9,6.4,Medium,False
CVE-2024-22872,2024,Crypto,5.4,8.1,4.7,Medium,False
CVE-2023-60094,2023,InputValidation,5.0,5.8,5.4,Medium,False
CVE-2020-57719,2020,Memory,5.1,6.7,7.8,Medium,False
CVE-2021-83885,2021,Memory,6.0,7.1,7.5,Medium,False
CVE-2022-29693,2022,Other,4.5,6.7,7.2,Medium,False
CVE-2023-60478,2023,Other,2.1,3.6,4.4,Low,False
CVE-2024-53677,2024,Crypto,5.4,5.9,6.3,Medium,True
CVE-2024-70012,2024,InputValidation,4.3,7.5,3.1,Medium,False
CVE-2022-20760,2022,InputValidation,5.9,6.8,7.2,Medium,False
CVE-2023-21584,2023,Auth,6.5,6.8,9.4,Medium,False
CVE-2019-12106,2019,Other,3.8,6.5,4.1,Low,False
CVE-2022-23669,2022,Other,2.5,0.9,4.6,Low,False
CVE-2020-35223,2020,Auth,5.2,7.5,7.6,Medium,False
CVE-2021-70666,2021,Crypto,6.5,4.5,8.7,Medium,False
CVE-2023-45706,2023,Memory,3.1,4.3,5.5,Low,False
CVE-2020-78019,2020,Memory,5.5,7.8,5.8,Medium,False
CVE-2018-71585,2018,Other,3.7,7.1,3.4,Low,False
CVE-2018-37482,2018,Crypto,5.4,5.3,6.7,Medium,False
CVE-2018-70369,2018,Memory,7.1,8.4,10.0,High,False
CVE-2018-44143,2018,Memory,6.6,9.4,7.9,Medium,False
CVE-2019-34240,2019,Crypto,6.6,7.5,7.0,Medium,False
CVE-2020-20015,2020,Memory,7.1,9.5,8.0,High,False
CVE-2020-92164,2020,Memory,6.6,8.1,7.1,Medium,False
CVE-2024-73023,2024,InputValidation,4.0,6.1,5.3,Medium,False
CVE-2021-61500,2021,Crypto,3.3,3.1,7.6,Low,False
CVE-2019-73925,2019,Crypto,5.1,5.1,6.9,Medium,False
CVE-2022-90596,2022,Memory,4.9,5.7,6.7,Medium,True
CVE-2024-59631,2024,Auth,6.9,9.8,5.7,Medium,False
CVE-2023-86190,2023,Memory,6.3,6.7,9.2,Medium,False
CVE-2020-73652,2020,InputValidation,5.9,6.2,7.9,Medium,False
CVE-2022-61087,2022,Auth,4.2,7.3,6.0,Medium,False
CVE-2023-89789,2023,Crypto,7.2,5.6,8.4,High,False
CVE-2023-64909,2023,Auth,6.2,9.0,6.4,Medium,False
CVE-2023-21565,2023,Crypto,4.6,4.6,5.0,Medium,False
CVE-2024-37597,2024,Crypto,4.0,5.8,5.3,Medium,False
CVE-2024-75623,2024,Memory,4.3,5.9,3.5,Medium,False
CVE-2022-19432,2022,InputValidation,3.6,4.0,7.2,Low,False
CVE-2021-84300,2021,InputValidation,4.0,5.1,3.2,Medium,False
CVE-2023-75714,2023,Memory,4.6,6.9,4.7,Medium,False
CVE-2023-59314,2023,Other,3.2,4.4,2.6,Low,False
CVE-2018-51965,2018,InputValidation,5.3,5.0,6.3,Medium,False
CVE-2024-94268,2024,Other,2.7,2.9,5.8,Low,False
CVE-2020-77957,2020,Crypto,4.2,5.4,6.0,Medium,False
CVE-2022-53715,2022,Auth,4.1,4.2,4.5,Medium,False
CVE-2024-63450,2024,InputValidation,6.7,7.1,4.8,Medium,False
CVE-2020-96062,2020,Crypto,5.3,5.6,7.5,Medium,False
CVE-2022-71902,2022,InputValidation,4.3,3.8,5.3,Medium,False
CVE-2019-38317,2019,Memory,5.6,6.5,7.4,Medium,False
CVE-2021-76753,2021,Auth,5.9,5.4,5.0,Medium,False
CVE-2019-45242,2019,InputValidation,4.2,6.5,7.1,Medium,False
CVE-2021-10929,2021,Memory,7.6,9.0,9.6,High,False
CVE-2021-23580,2021,Crypto,2.8,2.7,7.1,Low,False
CVE-2024-30742,2024,Memory,3.5,7.2,6.2,Low,False
CVE-2024-27833,2024,Other,5.1,4.8,6.9,Medium,False
CVE-2019-81347,2019,Other,5.2,6.0,6.3,Medium,False
CVE-2023-84155,2023,Other,4.7,5.3,6.6,Medium,False
CVE-2018-99791,2018,InputValidation,4.4,4.9,5.9,Medium,False
CVE-2018-23527,2018,Memory,7.9,6.5,6.5,High,True
CVE-2019-68139,2019,Other,4.1,3.8,6.6,Medium,False
CVE-2024-79585,2024,InputValidation,5.8,7.6,5.2,Medium,False
CVE-2024-51057,2024,Other,3.6,5.0,4.7,Low,False
CVE-2020-77439,2020,Other,5.5,7.9,4.6,Medium,False
CVE-2019-54261,2019,Other,3.5,4.9,3.6,Low,False
CVE-2020-80912,2020,InputValidation,3.7,4.9,4.3,Low,False
CVE-2022-10042,2022,InputValidation,5.7,3.7,6.5,Medium,False
CVE-2022-32769,2022,Other,3.9,2.3,4.4,Low,False
CVE-2020-77113,2020,InputValidation,4.6,3.6,7.1,Medium,False
CVE-2023-87918,2023,Memory,4.1,7.4,7.0,Medium,False
CVE-2021-32449,2021,Crypto,3.8,6.3,3.2,Low,False
CVE-2024-48653,2024,Other,6.2,2.6,7.2,Medium,False
CVE-2023-38859,2023,Crypto,6.0,6.8,8.3,Medium,False
CVE-2021-18576,2021,Crypto,4.9,4.8,4.7,Medium,False
CVE-2023-55874,2023,Memory,7.2,7.2,7.7,High,False
CVE-2023-87199,2023,Crypto,5.8,7.9,5.5,Medium,False
CVE-2020-46345,2020,Other,4.8,6.3,6.9,Medium,False
CVE-2021-80780,2021,Memory,2.8,6.6,4.5,Low,False
CVE-2024-79428,2024,InputValidation,4.0,4.7,3.2,Medium,False
CVE-2019-14321,2019,Other,2.4,1.8,5.2,Low,False
CVE-2018-15776,2018,Auth,5.0,5.4,6.4,Medium,False
CVE-2022-26119,2022,Crypto,3.6,5.2,5.8,Low,False
CVE-2023-40569,2023,Auth,3.8,5.0,4.4,Low,False
CVE-2023-48596,2023,InputValidation,4.9,5.8,5.9,Medium,False
CVE-2024-62967,2024,InputValidation,5.7,6.1,7.2,Medium,True
CVE-2022-43063,2022,Auth,4.4,6.2,6.7,Medium,False
CVE-2019-32340,2019,Auth,6.1,5.5,6.9,Medium,False
CVE-2022-85723,2022,Other,4.0,5.3,5.3,Medium,False
CVE-2023-65430,2023,Other,4.5,5.7,8.7,Medium,False
CVE-2019-16668,2019,InputValidation,3.6,4.4,4.3,Low,False
CVE-2019-90880,2019,InputValidation,6.6,8.1,8.0,Medium,False
CVE-2018-18195,2018,Auth,6.3,6.4,8.9,Medium,False
CVE-2022-92097,2022,Crypto,6.4,5.5,7.5,Medium,True
CVE-2024-67995,2024,Auth,5.7,7.6,6.6,Medium,False
CVE-2023-97834,2023,Auth,5.2,6.8,5.9,Medium,False
CVE-2024-48250,2024,Other,5.2,6.4,8.7,Medium,False
CVE-2018-26076,2018,InputValidation,5.2,6.4,4.2,Medium,False
CVE-2024-25376,2024,InputValidation,4.3,5.1,4.8,Medium,False
CVE-2023-65839,2023,Memory,5.4,7.5,6.3,Medium,False
CVE-2021-74723,2021,Crypto,3.5,3.8,8.5,Low,False
CVE-2024-53442,2024,Memory,7.2,7.2,7.6,High,False
CVE-2020-15392,2020,InputValidation,3.6,6.0,4.9,Low,False
CVE-2024-37106,2024,InputValidation,4.4,5.7,6.1,Medium,False
CVE-2024-89845,2024,InputValidation,5.1,5.8,5.6,Medium,False
CVE-2023-34809,2023,Crypto,2.3,2.7,4.8,Low,False
CVE-2022-10693,2022,Memory,4.8,6.2,8.5,Medium,False
CVE-2019-69821,2019,Memory,3.2,7.1,4.5,Low,False
CVE-2022-84159,2022,Auth,7.2,6.7,9.7,High,False
CVE-2021-84710,2021,InputValidation,4.6,4.5,7.9,Medium,False
CVE-2023-21352,2023,Memory,9.6,8.9,9.2,Critical,False
CVE-2023-62196,2023,InputValidation,3.5,4.7,5.6,Low,False
CVE-2024-81066,2024,Auth,5.3,8.0,6.8,Medium,False
CVE-2018-14992,2018,Memory,4.7,7.6,4.4,Medium,False
CVE-2023-63076,2023,Crypto,4.4,4.5,5.5,Medium,False
CVE-2024-33354,2024,Memory,6.9,9.7,8.3,Medium,False
CVE-2023-13312,2023,Memory,6.2,5.2,8.9,Medium,False
CVE-2019-55833,2019,InputValidation,4.4,7.4,5.0,Medium,False
CVE-2019-14318,2019,InputValidation,4.6,7.5,6.3,Medium,False
CVE-2018-76003,2018,Crypto,3.0,4.5,6.1,Low,False
CVE-2023-37192,2023,Auth,3.8,8.6,4.7,Low,False
CVE-2023-99199,2023,Other,4.6,4.6,7.5,Medium,False
CVE-2024-47489,2024,InputValidation,4.8,6.4,5.5,Medium,False
CVE-2021-50309,2021,InputValidation,4.8,6.4,6.4,Medium,False
CVE-2021-38273,2021,Auth,6.1,6.3,5.9,Medium,False
CVE-2023-57553,2023,InputValidation,6.3,7.2,5.5,Medium,False
CVE-2024-39473,2024,InputValidation,5.5,7.2,6.9,Medium,False
CVE-2024-71410,2024,Memory,2.9,4.4,6.0,Low,False
CVE-2023-23679,2023,Memory,5.9,9.0,6.6,Medium,False
CVE-2021-55310,2021,Other,2.7,2.5,4.7,Low,False
CVE-2023-93406,2023,Auth,5.9,8.0,7.7,Medium,False
CVE-2024-70683,2024,Crypto,6.3,7.2,9.9,Medium,False
CVE-2022-35992,2022,InputValidation,4.0,4.4,6.6,Medium,False
CVE-2020-39433,2020,Memory,5.7,6.4,8.6,Medium,False
CVE-2019-86574,2019,Memory,3.6,5.3,4.1,Low,False
CVE-2018-35933,2018,InputValidation,5.4,5.7,6.9,Medium,False
CVE-2023-55020,2023,InputValidation,4.6,5.5,4.6,Medium,False
CVE-2019-39236,2019,Auth,4.4,7.7,4.4,Medium,False
CVE-2020-68735,2020,Crypto,6.5,7.5,5.7,Medium,False
CVE-2020-19770,2020,InputValidation,6.2,8.1,9.3,Medium,False
CVE-2022-79285,2022,Other,3.7,4.2,8.0,Low,False
CVE-2021-45271,2021,Auth,5.8,6.2,7.2,Medium,False
CVE-2023-83391,2023,Crypto,2.2,3.0,3.3,Low,False
CVE-2018-33439,2018,Crypto,4.6,4.3,6.0,Medium,False
CVE-2019-21101,2019,InputValidation,4.2,7.4,7.5,Medium,False
CVE-2022-92319,2022,Memory,8.1,9.4,7.7,High,False
CVE-2021-54917,2021,InputValidation,3.8,4.1,3.0,Low,False
CVE-2020-93459,2020,Auth,3.3,5.6,5.0,Low,False
CVE-2018-90562,2018,Memory,4.5,7.0,6.8,Medium,False
CVE-2024-51196,2024,Memory,7.6,7.4,7.9,High,False
CVE-2023-33569,2023,Memory,3.2,5.8,2.7,Low,False
CVE-2019-51887,2019,Memory,5.2,7.6,6.7,Medium,False
CVE-2018-30893,2018,Other,2.7,4.3,6.6,Low,False
CVE-2024-97971,2024,Auth,5.7,6.5,8.3,Medium,False
CVE-2023-65304,2023,InputValidation,5.9,6.8,8.1,Medium,False
CVE-2021-42399,2021,Memory,6.7,7.0,8.0,Medium,False
CVE-2023-35236,2023,InputValidation,3.3,5.3,5.1,Low,False
CVE-2023-95870,2023,InputValidation,2.7,5.8,3.2,Low,False
CVE-2023-59531,2023,Memory,5.8,6.9,6.2,Medium,False
CVE-2022-90570,2022,InputValidation,6.4,5.4,8.4,Medium,False
CVE-2021-19442,2021,InputValidation,4.7,5.6,9.1,Medium,False
CVE-2018-66437,2018,Crypto,7.4,7.9,8.4,High,False
CVE-2024-70342,2024,Crypto,5.7,6.3,7.5,Medium,False
CVE-2022-88179,2022,Memory,6.6,6.6,7.5,Medium,False
CVE-2020-45069,2020,InputValidation,5.3,7.0,5.9,Medium,False
CVE-2024-83246,2024,Crypto,2.7,5.0,6.3,Low,False
CVE-2024-48560,2024,InputValidation,7.0,7.8,10.0,High,False
CVE-2024-68070,2024,Other,5.3,5.6,4.9,Medium,False
CVE-2024-52427,2024,Crypto,5.2,5.3,9.5,Medium,False
CVE-2024-70496,2024,Memory,5.5,7.7,6.5,Medium,False
CVE-2020-74557,2020,Memory,5.3,4.6,8.8,Medium,False
CVE-2024-82752,2024,Crypto,1.0,3.8,3.7,Low,False
CVE-2024-87248,2024,Memory,6.6,5.2,7.6,Medium,False
CVE-2020-80441,2020,Crypto,3.9,5.7,5.3,Low,False
CVE-2019-58534,2019,Other,5.5,7.6,4.5,Medium,False
CVE-2024-37930,2024,Crypto,6.7,8.8,7.7,Medium,False
CVE-2020-99042,2020,InputValidation,7.3,7.0,8.7,High,False
CVE-2024-17288,2024,Crypto,5.2,6.3,5.2,Medium,False
CVE-2018-91122,2018,InputValidation,2.8,3.3,3.5,Low,False
CVE-2018-71518,2018,InputValidation,4.1,5.2,6.4,Medium,True
CVE-2022-42400,2022,Other,4.8,3.8,6.1,Medium,False
CVE-2020-11567,2020,InputValidation,3.7,5.1,7.5,Low,False
CVE-2023-57878,2023,Other,5.8,4.7,8.2,Medium,False
CVE-2022-58850,2022,Other,3.5,4.3,6.3,Low,False
CVE-2018-11094,2018,Memory,6.5,4.0,9.6,Medium,False
CVE-2019-21135,2019,Memory,6.5,8.1,7.5,Medium,False
CVE-2021-89044,2021,Memory,5.3,5.4,6.0,Medium,False
CVE-2020-55113,2020,Memory,4.9,7.4,4.1,Medium,False
CVE-2023-68791,2023,Memory,5.6,10.0,7.0,Medium,False
CVE-2021-19684,2021,Crypto,3.5,4.1,5.7,Low,False
CVE-2019-81727,2019,Memory,5.1,3.2,7.9,Medium,False
CVE-2022-93378,2022,InputValidation,5.5,5.6,7.4,Medium,False
CVE-2019-68552,2019,Auth,6.5,8.2,5.0,Medium,False
CVE-2019-18046,2019,Memory,7.5,9.9,7.8,High,False
CVE-2020-14934,2020,Auth,4.3,4.7,7.6,Medium,False
CVE-2024-69556,2024,InputValidation,5.9,6.7,9.6,Medium,False
CVE-2024-56806,2024,Memory,6.0,6.3,8.4,Medium,False
CVE-2024-11354,2024,Crypto,3.6,5.3,7.9,Low,False
CVE-2021-63046,2021,Crypto,8.3,9.5,7.5,High,False
CVE-2020-75064,2020,Other,4.3,2.7,6.7,Medium,False
CVE-2022-67184,2022,Auth,7.4,6.9,9.1,High,False
CVE-2023-12963,2023,Auth,3.7,7.2,4.5,Low,False
CVE-2024-37424,2024,InputValidation,6.8,7.6,6.4,Medium,False
CVE-2019-90039,2019,Memory,7.1,7.1,5.5,High,False
CVE-2018-13042,2018,Auth,4.9,7.0,7.6,Medium,False
CVE-2023-17139,2023,Auth,6.6,5.9,8.9,Medium,False
CVE-2024-21226,2024,Other,4.6,5.4,5.5,Medium,False
CVE-2024-90298,2024,InputValidation,2.3,5.5,2.3,Low,False
CVE-2023-93652,2023,InputValidation,5.8,6.9,6.1,Medium,False
CVE-2024-48108,2024,Auth,6.5,5.9,8.3,Medium,False
CVE-2022-80647,2022,InputValidation,5.4,6.6,7.8,Medium,False
